N;titulo;canal;País;Tipo;id;enlace;date;anyo;mes
98;Why Puffer Fish Is So Expensive  -  So Expensive;Insider Business;Varios países;Comida;JguUVIpFRg4;https://www.youtube.com/watch?v=JguUVIpFRg4;2019-07-20T15:00:06Z;2019;7
99;Catching and COOKING Florida’s MOST Dangerous Killer! (HAND CAUGHT!!!);Best Ever Food Review Show;Estados Unidos;Comida;FMcR8dx8z-U;https://www.youtube.com/watch?v=FMcR8dx8z-U;2019-07-17T12:25:19Z;2019;7
100;"Why Japanese Don&#39;t Like Foreigners";Paolo fromTOKYO;Japón;Viaje;hG28fQE_2A8;https://www.youtube.com/watch?v=hG28fQE_2A8;2019-07-20T00:00:04Z;2019;7
101;Non Vegetarian FEAST At RANGANNA MILITARY HOTEL - Famous Mutton Pulao, Kheema Gojju, Mudde  - Bangalore;Food Lovers TV;India;Comida;f5lKanUYXR8;https://www.youtube.com/watch?v=f5lKanUYXR8;2019-07-10T06:00:20Z;2019;7
102;🔴 Cuxhaven WetterCam Kamp Hotels Cuxhaven-Duhnen;OrniTech LiveCam;Alemania;Evento;SZp1Q6LX7Wk;https://www.youtube.com/watch?v=SZp1Q6LX7Wk;2019-07-09T15:42:22Z;2019;7
103;สุดยอดมื้ออาหาร 10,000 แคล แถวนี้เค้ากินเค็ม;Bearhug;Tailandia;Comida;gIwUy3Twqfw;https://www.youtube.com/watch?v=gIwUy3Twqfw;2019-07-15T14:30:22Z;2019;7
104;MEGA VANLIFE TOUR  -  4x4 Overland Off Road Airstream B190 Ujoint RV Conversion Motor Home;New Jersey Outdoor Adventures;Estados Unidos;Viaje;dk6eVsJFz5w;https://www.youtube.com/watch?v=dk6eVsJFz5w;2019-07-13T23:47:14Z;2019;7
105;"What&#39;s Wrong with My Wife?";Karl Rock;India;Evento;JlqFDKYDjmI;https://www.youtube.com/watch?v=JlqFDKYDjmI;2019-07-08T06:30:02Z;2019;7
106;Eating with the World’s Most Isolated Tribe!!! The Tree People of Papua, Indonesia!!;Best Ever Food Review Show;Indonesia;Comida;X6Oaruks5Lk;https://www.youtube.com/watch?v=X6Oaruks5Lk;2019-08-21T12:25:32Z;2019;8
107;Greatest Omurice Artist,Omelet Rice - Kyoto Japan;Ante;Japón;Comida;MEDlqEVpPn8;https://www.youtube.com/watch?v=MEDlqEVpPn8;2019-08-15T10:06:12Z;2019;8
108;Riding through California;Visit The USA;Estados Unidos;Viaje;4PGNRgOK8sE;https://www.youtube.com/watch?v=4PGNRgOK8sE;2019-08-13T17:11:00Z;2019;8
109;Day in the Life of a Japanese Ramen Chef;Paolo fromTOKYO;Japón;Evento;B5pKw6flFZE;https://www.youtube.com/watch?v=B5pKw6flFZE;2019-08-02T23:59:15Z;2019;8
110;Derby Fashion in Kentucky;Visit The USA;Estados Unidos;Evento;_QY4V5qEesg;https://www.youtube.com/watch?v=_QY4V5qEesg;2019-08-13T17:24:02Z;2019;8
111;"Flying With LUFTHANSA In All Four Classes: First Class, Business, Premium &amp; Economy";The Points Guy  -  Departures;Varios países;Viaje;YD-HSifUN2I;https://www.youtube.com/watch?v=YD-HSifUN2I;2019-08-23T16:08:05Z;2019;8
112;"Rick Steves&#39; Cruising the Mediterranean";Rick Steves' Europe;Varios países;Viaje;5dqrOSk-Wyk;https://www.youtube.com/watch?v=5dqrOSk-Wyk;2019-08-02T17:41:20Z;2019;8
113;Why Japan Arrests Foreigners;Paolo fromTOKYO;Japón;Evento;r1ZLGqL1FMo;https://www.youtube.com/watch?v=r1ZLGqL1FMo;2019-08-16T23:58:43Z;2019;8
114;"Spending 3 Days in The World&#39;s Strangest City";Drew Binsky;Varios países;Viaje;hmIa2SGpm6s;https://www.youtube.com/watch?v=hmIa2SGpm6s;2019-08-17T20:52:43Z;2019;8
115;EP 13 Complete Guide Shri Kedarnath Dham Yatra  -  Sonprayag to Kedarnath JI 17 km;visa2explore;India;Viaje;ZluP0497uEY;https://www.youtube.com/watch?v=ZluP0497uEY;2019-08-04T02:30:02Z;2019;8
116;Bistecca alla Fiorentina - Steakhouse in Italy;Aden Films;Italia;Comida;IbB80gc_EuY;https://www.youtube.com/watch?v=IbB80gc_EuY;2019-08-10T20:43:31Z;2019;8
117;LEGENDARY Texas BBQ! BEST Beef Brisket  -  Franklins vs. Terry Black’s in Austin Texas  -  5 HOUR WAIT!;Strictly Dumpling;Estados Unidos;Comida;vEn-tZa1vAQ;https://www.youtube.com/watch?v=vEn-tZa1vAQ;2019-08-04T22:00:04Z;2019;8
118;The Best Pizza In Naples  -  Best Of The Best;Insider Food;Italia;Comida;7toSikYGFNM;https://www.youtube.com/watch?v=7toSikYGFNM;2019-08-31T16:00:11Z;2019;8
119;Day in the Life of a Japanese Master Chef;Paolo fromTOKYO;Japón;Evento;pqr7EmlUyQ4;https://www.youtube.com/watch?v=pqr7EmlUyQ4;2019-08-23T23:59:24Z;2019;8
120;20 Things Can’t Be Seen Anywhere But in Japan;BRIGHT SIDE;Japón;Viaje;7L7OcbqhKYc;https://www.youtube.com/watch?v=7L7OcbqhKYc;2019-08-12T03:00:02Z;2019;8
121;How To Escape Quicksand + Make The World’s Fluffiest Omelette In France  -  Travel Dares S2 Ep 1;Insider;Varios países;Comida;v_fJ4fm0ewQ;https://www.youtube.com/watch?v=v_fJ4fm0ewQ;2019-09-03T17:00:12Z;2019;9
122;E03: Magia invernal en la ciudad de Quebec  -  El Llamado a Dejarse Llevar;Bonjour Québec;Canadá;Viaje;_99j7enoIbc;https://www.youtube.com/watch?v=_99j7enoIbc;2019-09-10T15:50:44Z;2019;9
123;What Cheese Looks Like Around The World;Insider Food;Varios países;Comida;2NutfCHAyNM;https://www.youtube.com/watch?v=2NutfCHAyNM;2019-10-01T20:00:02Z;2019;9
